source,filename,filepath,size_kb,page_count,file_hash,is_exact_duplicate,extraction_method,extraction_error,char_count,word_count,text_output_path,retry_status,detected_language,garbage_char_ratio,detected_year
ppqs_advisories,Advisory on incidence of leaf thrips (Scirtothrips dorasalis) and invasive thrips (Thrips parvispinus) to major Chilli growing areas.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on incidence of leaf thrips (Scirtothrips dorasalis) and invasive thrips (Thrips parvispinus) to major Chilli growing areas.pdf,401.9,5,21e7156570005384fcf31ed6667108b98ed3522829990f9bab4b66f390236844,False,native,,7084,1135,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on incidence of leaf thrips (Scirtothrips dorasalis) and invasive thrips (Thrips parvispinus) to major Chilli growing areas.txt,not_applicable,unknown,,
ppqs_advisories,Advisory on incidence of Maize Stem borer (Chilo partellus) on maize crop in Uttar Pradesh.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on incidence of Maize Stem borer (Chilo partellus) on maize crop in Uttar Pradesh.pdf,589.5,2,45e32aae77c6e743ef4cd9f5c540cfae3f3209c11d11b995355ffaec4e1b87ba,False,native,,4255,670,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on incidence of Maize Stem borer (Chilo partellus) on maize crop in Uttar Pradesh.txt,not_applicable,en,0.024,2022.0
ppqs_advisories,Advisory on Incidence of Papaya Mealybug ( Paracoccus marginatus) in Wardha district of Maharashtra.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on Incidence of Papaya Mealybug ( Paracoccus marginatus) in Wardha district of Maharashtra.pdf,495.2,2,cf46ec962974b779a5e44deea37c9a9297d2a2f1d2c1b8dddfad39e28019b4e5,False,native,,3459,484,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on Incidence of Papaya Mealybug ( Paracoccus marginatus) in Wardha district of Maharashtra.txt,not_applicable,en,0.016,2022.0
ppqs_advisories,Advisory on incidence of Pink Boll Worm (PBW) on cotton crop in Maharashtra State.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on incidence of Pink Boll Worm (PBW) on cotton crop in Maharashtra State.pdf,6304.4,6,2ad87f88f3b4dd205c55b56d57cdf65297e1134e08f82113d6862a953dbf4d90,False,native,,8148,1429,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on incidence of Pink Boll Worm (PBW) on cotton crop in Maharashtra State.txt,not_applicable,en,0.031,2019.0
ppqs_advisories,Advisory on incidence of Pink Boll worm Pectinophora gossypiella and white fly (Bemesia tabaci) on cotton crop in Punjab state.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on incidence of Pink Boll worm Pectinophora gossypiella and white fly (Bemesia tabaci) on cotton crop in Punjab state.pdf,4054.1,7,9af8ab36807fc757e32ef0cd23213848b0d12ac7a80d9056996683ea0d1f4a84,False,native,,10502,1525,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on incidence of Pink Boll worm Pectinophora gossypiella and white fly (Bemesia tabaci) on cotton crop in Punjab state.txt,not_applicable,unknown,,
ppqs_advisories,Advisory on incidence of Yellow Rust (Puccinia striiformis f.sp. tritici) on Wheat crop.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on incidence of Yellow Rust (Puccinia striiformis f.sp. tritici) on Wheat crop.pdf,673.0,4,56838b35314222d2cb379473a39cce32829413aff089d8175b00c57d4ab4de40,False,native,,5905,841,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on incidence of Yellow Rust (Puccinia striiformis f.sp. tritici) on Wheat crop.txt,not_applicable,en,0.017,2022.0
ppqs_advisories,Advisory on Late Blight disease of Potato.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on Late Blight disease of Potato.pdf,2966.5,5,2c7905a9f27591e9c66e4ee588582adda17b73db0a2b6e1cd4168e0282d97252,False,native,,6148,1087,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on Late Blight disease of Potato.txt,not_applicable,en,0.014,2020.0
ppqs_advisories,Advisory on management of Cucumber Mosaic Virus in Banana.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on management of Cucumber Mosaic Virus in Banana.pdf,750.2,3,9a255caa51276b6b20a28a6cf34846365bf97bf2fb0bffdd42350c8046f89ce1,False,native,,5380,1087,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on management of Cucumber Mosaic Virus in Banana.txt,not_applicable,en,0.017,2022.0
ppqs_advisories,Advisory on management of Pink Boll worm (Pectinophora gossypiella) in Cotton crop.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on management of Pink Boll worm (Pectinophora gossypiella) in Cotton crop.pdf,1221.1,4,8dc1fe017912f8ce3434fdbce97417fed2f1044f2c6c10a85c00362950807306,False,native,,6525,1006,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on management of Pink Boll worm (Pectinophora gossypiella) in Cotton crop.txt,not_applicable,en,0.021,2023.0
ppqs_advisories,Advisory on management of Pod borer (Helicoverpa sp) in Chick pea (Gram).pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on management of Pod borer (Helicoverpa sp) in Chick pea (Gram).pdf,177.8,2,3be98b1f408a14b2e18b9dff1e22890415c02fa3957032e63d5a0b05da86d4ae,False,native,,3871,587,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on management of Pod borer (Helicoverpa sp) in Chick pea (Gram).txt,not_applicable,en,0.015,2023.0
ppqs_advisories,Advisory on management of Sesamia inferens (pink stem borer) in Wheat crop.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on management of Sesamia inferens (pink stem borer) in Wheat crop.pdf,448.1,2,71c20a574b7d6d900660751b2cad0eba2d4a65c1cc2e534415053c1434b39251,False,native,,3218,498,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on management of Sesamia inferens (pink stem borer) in Wheat crop.txt,not_applicable,en,0.026,2023.0
ppqs_advisories,Advisory on management of soil borne diseases of chickpea  crop.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on management of soil borne diseases of chickpea  crop.pdf,1056.3,3,3be24fbf0f738467469c9cb9ef41e852f05d8a395c3e20cecd9dba7fc8983bae,False,native,,6430,1602,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on management of soil borne diseases of chickpea  crop.txt,not_applicable,en,0.055,2023.0
ppqs_advisories,Advisory on management of Tea Mosquito Bug (Helopeltis theivora) in Tea crop.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on management of Tea Mosquito Bug (Helopeltis theivora) in Tea crop.pdf,2088.7,2,db689442f1705b0551905cce306d454cd26cf05adda55c76de3b0c296326829e,False,native,,4685,716,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on management of Tea Mosquito Bug (Helopeltis theivora) in Tea crop.txt,not_applicable,en,0.017,2023.0
ppqs_advisories,Advisory on management of Thrips and Whitefly in Cotton crop.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on management of Thrips and Whitefly in Cotton crop.pdf,1880.3,6,72585db86e505b334d7c88d876acce8ce9eca7148975b08789e94355837e2e0d,False,native,,11046,2582,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on management of Thrips and Whitefly in Cotton crop.txt,not_applicable,en,0.028,2023.0
ppqs_advisories,Advisory on Pink Boll worm (Pectinophora gossypiella) and white fly (Bemesia tabaci) on cotton crop.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on Pink Boll worm (Pectinophora gossypiella) and white fly (Bemesia tabaci) on cotton crop.pdf,1844.9,6,0d609aed4889f22501bb2aeb4866091ae4ac1424dc0bce040d644bfcbeee8313,False,native,,10500,1613,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on Pink Boll worm (Pectinophora gossypiella) and white fly (Bemesia tabaci) on cotton crop.txt,not_applicable,en,0.023,2022.0
ppqs_advisories,Advisory on Pink boll worm (Pectinophora gossypiella) of Cotton crop.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on Pink boll worm (Pectinophora gossypiella) of Cotton crop.pdf,1380.4,2,4bc034dc6bd71ffd0f83db42585724d6dc808e0378b77a207261982d1cc6587c,False,native,,4160,617,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on Pink boll worm (Pectinophora gossypiella) of Cotton crop.txt,not_applicable,en,0.013,2024.0
ppqs_advisories,Advisory on Red rot (Colletotrichum falcatum) on Sugarcane crop.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on Red rot (Colletotrichum falcatum) on Sugarcane crop.pdf,168.7,2,40182d0221c00ebb4ca3a01a09b483bd1220bebf3bf023f43e3316ffb8afd205,False,native,,3047,1030,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on Red rot (Colletotrichum falcatum) on Sugarcane crop.txt,not_applicable,cy,0.013,2022.0
